,date,open,high,low,close,adj_close,volume,stock
2851,1962-08-01,0.6648137,0.6660656929016113,0.65855366,0.6610577,0.0015954508,1427700.0,GE
2852,1962-03-02,0.0,8.943419456481934,8.822562,8.882991,0.78402734,41300.0,IP
2853,1962-03-29,6.149269,6.149269104003906,6.067279,6.067279,1.4082265,34800.0,ARNC
2854,1962-06-25,0.0,6.254350662231445,6.1032796,6.2543507,0.55663055,73400.0,IP
2855,1962-11-09,0.0,5.333333492279053,5.21875,5.3333335,0.7138719,19200.0,FL
2856,1962-11-23,0.0,9.90625,9.765625,9.875,0.23077703,48000.0,ED
2857,1962-11-23,0.0,247.5,243.125,245.625,113.83142,700.0,NAV
2858,1962-06-14,0.0,0.1232638880610466,0.119791664,0.122395836,0.00015316307,1843200.0,MO
2859,1962-06-29,0.0,0.1822916716337204,0.17418982,0.1796875,5.079373e-07,734400.0,JNJ
2860,1962-12-05,0.22526042,0.2262369841337204,0.22526042,0.22623698,0.003749025,1228800.0,KO
2861,1962-07-12,5.707125,5.73916482925415,5.63904,5.66307,1.3461525,70500.0,AA
2862,1962-04-25,0.7336739,0.7374299168586731,0.72365785,0.72365785,0.0017330691,2206400.0,GE
2863,1962-12-19,0.0,0.1302083283662796,0.12912327,0.13020833,0.00016707322,1324800.0,MO
2864,1962-04-26,0.0,0.21412037312984467,0.21064815,0.21064815,5.9375134e-07,302400.0,JNJ
2865,1962-04-26,0.24934895,0.2506510317325592,0.24609375,0.24804688,0.004022376,806400.0,KO
2866,1962-04-03,0.76622593,0.7662259340286255,0.7524539,0.75746197,0.0018140252,1697200.0,GE
2867,1962-08-14,0.0,5.666666507720947,5.6145835,5.6145835,0.7431117,14400.0,FL
2868,1962-07-11,0.0,8.28125,8.125,8.25,1.4514028,55600.0,GT
2869,1962-10-25,0.0,6.625,6.4375,6.5625,1.1641856,38800.0,GT
2870,1962-11-02,0.0,3.452380895614624,3.3779762,3.452381,0.055918373,140800.0,CVX
2871,1962-11-02,0.0,0.1597222238779068,0.15856482,0.15972222,4.5306004e-07,518400.0,JNJ
2872,1962-08-08,5.715135,5.839290142059326,5.64705,5.82327,1.3842334,32500.0,AA
2873,1962-11-20,5.05997,5.059969902038574,4.931128,4.954554,1.1683837,139400.0,ARNC
2874,1962-06-14,4.8959894,4.942841053009033,4.755435,4.755435,1.1096367,49000.0,ARNC
2875,1962-08-21,0.0,6.49606466293335,6.3449936,6.3449936,0.5703042,43800.0,IP
2876,1962-01-12,5.95015,5.961863040924072,5.809595,5.809595,1.341619,28400.0,ARNC
2877,1962-06-18,0.071396045,0.07233136147260666,0.06827831,0.07233136,0.027812636,661700.0,DIS
2878,1962-04-26,0.0,1.306640625,1.2890625,1.2929688,0.012326135,384000.0,PG
2879,1962-08-29,5.5753374,5.5753374099731445,5.50506,5.5753374,1.3074213,38400.0,ARNC
2880,1962-10-05,0.0,1.63671875,1.625,1.6367188,0.014923771,643200.0,XOM
2881,1962-08-14,5.680753,5.868159770965576,5.598763,5.809595,1.3623571,54000.0,ARNC
2882,1962-08-01,0.2233073,0.2233072966337204,0.21744792,0.21940105,0.0035838734,1305600.0,KO
2883,1962-06-15,0.0,8.1875,7.96875,8.1875,1.4404072,55200.0,GT
2884,1962-01-19,0.8353909,0.8724279999732971,0.8353909,0.872428,0.1544924,1293600.0,BA
2885,1962-11-01,0.060483985,0.062354620546102524,0.060483985,0.06235462,0.024058862,233500.0,DIS
2886,1962-07-18,0.0,3.2291667461395264,3.169643,3.2291667,0.051837016,182400.0,CVX
2887,1962-07-18,0.0,5.666666507720947,5.5208335,5.5208335,0.72378486,21600.0,FL
2888,1962-10-30,0.0,231.25,224.375,228.125,105.721306,400.0,NAV
2889,1962-01-16,0.0,1.3515625,1.3359375,1.34375,0.012752956,236800.0,PG
2890,1962-08-01,0.0,6.556493282318115,6.3449936,6.3449936,0.5646971,38100.0,IP
2891,1962-07-30,0.0,5.6875,5.59375,5.6875,0.75276244,14400.0,FL
2892,1962-11-27,0.0,3.5714285373687744,3.549107,3.5565476,0.058095835,142400.0,CVX
2893,1962-04-25,6.9066668,6.933333396911621,6.8333335,6.8333335,0.5539276,459200.0,IBM
2894,1962-01-12,7.52,7.573333263397217,7.52,7.52,0.60950756,435200.0,IBM
2895,1962-12-27,0.0,10.484375,10.40625,10.421875,0.24355716,28800.0,ED
2896,1962-04-26,5.8564467,5.856446743011475,5.7744565,5.7744565,1.3402618,70400.0,ARNC
2897,1962-04-26,6.826667,6.826666831970215,6.66,6.66,0.5398765,928000.0,IBM
2898,1962-07-09,0.0,8.375,8.1875,8.375,1.4733932,45200.0,GT
2899,1962-11-01,0.20703125,0.208984375,0.20377605,0.20898438,0.0034379829,1958400.0,KO
2900,1962-06-19,0.0,1.5703125,1.5585938,1.5585938,0.014046644,819200.0,XOM
2901,1962-06-01,0.0,253.125,246.875,248.75,112.44688,1000.0,NAV
2902,1962-08-06,0.66982174,0.6698217391967773,0.65730166,0.65855366,0.0015894072,1537500.0,GE
2903,1962-06-27,0.0,0.1217447891831398,0.11892361,0.119791664,0.00014990421,1382400.0,MO
2904,1962-06-25,0.0,0.125,0.12282986,0.124565974,0.00015587862,2764800.0,MO
2905,1962-08-15,6.26382,6.347925186157227,6.26382,6.3258977,1.5112185,52500.0,AA
2906,1962-11-09,0.0,1.05078125,1.0214844,1.046875,0.010095453,281600.0,PG
2907,1962-08-29,0.07638441,0.07919036597013474,0.07482555,0.07856683,0.030210266,506000.0,DIS
2908,1962-01-19,0.0,0.1770833283662796,0.17404515,0.17708333,0.00021674694,748800.0,MO
2909,1962-06-19,5.24655,5.2465500831604,5.146425,5.2065,1.2376224,55900.0,AA
2910,1962-06-21,0.0,0.1310763955116272,0.12760417,0.12760417,0.00015968064,1382400.0,MO
2911,1962-06-20,4.872564,4.895989418029785,4.7788606,4.7788606,1.1151028,57600.0,ARNC
2912,1962-11-28,0.0,10.03125,9.921875,9.921875,0.23187234,19200.0,ED
2913,1962-01-16,7.5466666,7.546666622161865,7.4733334,7.4733334,0.6057248,251200.0,IBM
2914,1962-06-04,0.0,0.1234809011220932,0.1219618,0.1219618,0.00015066787,2476800.0,MO
2915,1962-08-07,5.85531,5.855309963226318,5.715135,5.715135,1.3585292,41900.0,AA
2916,1962-08-15,0.22265625,0.2252604216337204,0.22265625,0.22395833,0.0036583142,1305600.0,KO
2917,1962-03-05,0.0,29.875,29.4375,29.75,0.496513,3000.0,DTE
2918,1962-12-12,0.0,1.146484375,1.140625,1.1464844,0.011056036,243200.0,PG
2919,1962-08-29,0.0,6.465850830078125,6.3449936,6.375208,0.5730201,55900.0,IP
2920,1962-01-19,7.3733335,7.393333435058594,7.2933335,7.38,0.5981598,400000.0,IBM
2921,1962-04-03,0.0,0.2239583283662796,0.22222222,0.22395833,6.312681e-07,86400.0,JNJ
